Frame Index,Game Clock Time (min:sec),Half,Game Clock (in seconds since start of half),Unix Timestamp,On-ball Player Number,On-ball Player Name,On-ball Player Coordinates,Ball Coordinates,Number of Opposition Players within 5 yd
397,0:15,1,15.88,1599957500650,6,D. McCarty,"[-11.97, 21.42, 0.0]","[-12.38, 21.42, 0.5]",2
398,0:15,1,15.92,1599957500690,6,D. McCarty,"[-11.95, 21.36, 0.0]","[-12.79, 21.42, 0.6000000000000001]",2
441,0:17,1,17.64,1599957502410,9,D. Badji,"[-25.44, 23.47, 0.0]","[-25.16, 22.7, 0.55]",1
442,0:17,1,17.68,1599957502450,9,D. Badji,"[-25.32, 23.27, 0.0]","[-25.3, 22.54, 0.6900000000000001]",1
443,0:17,1,17.72,1599957502490,9,D. Badji,"[-25.2, 23.07, 0.0]","[-25.44, 22.38, 0.84]",1
444,0:17,1,17.76,1599957502530,9,D. Badji,"[-25.07, 22.88, 0.0]","[-25.59, 22.21, 1.0]",1
495,0:19,1,19.8,1599957504570,10,H. Mukhtar,"[-36.45, 18.77, 0.0]","[-37.12, 19.35, 0.14]",1
496,0:19,1,19.84,1599957504610,10,H. Mukhtar,"[-36.66, 18.87, 0.0]","[-37.32, 19.42, 0.13]",1
497,0:19,1,19.88,1599957504650,10,H. Mukhtar,"[-36.87, 18.97, 0.0]","[-37.48, 19.48, 0.12]",1
498,0:19,1,19.92,1599957504690,10,H. Mukhtar,"[-37.09, 19.07, 0.0]","[-37.69, 19.54, 0.11]",1
499,0:19,1,19.96,1599957504730,10,H. Mukhtar,"[-37.3, 19.16, 0.0]","[-37.86, 19.6, 0.11]",1
500,0:20,1,20.0,1599957504770,10,H. Mukhtar,"[-37.53, 19.26, 0.0]","[-38.07, 19.67, 0.1]",1
501,0:20,1,20.04,1599957504810,10,H. Mukhtar,"[-37.76, 19.35, 0.0]","[-38.23, 19.73, 0.09]",1
502,0:20,1,20.08,1599957504850,10,H. Mukhtar,"[-37.99, 19.43, 0.0]","[-38.41, 19.79, 0.09]",1
503,0:20,1,20.12,1599957504890,10,H. Mukhtar,"[-38.22, 19.51, 0.0]","[-38.59, 19.85, 0.06]",1
504,0:20,1,20.16,1599957504930,10,H. Mukhtar,"[-38.45, 19.59, 0.0]","[-38.72, 19.9, 0.04]",1
505,0:20,1,20.2,1599957504970,10,H. Mukhtar,"[-38.69, 19.66, 0.0]","[-39.1, 19.95, 0.09]",1
506,0:20,1,20.24,1599957505010,10,H. Mukhtar,"[-38.94, 19.73, 0.0]","[-39.37, 19.96, 0.12]",1
507,0:20,1,20.28,1599957505050,10,H. Mukhtar,"[-39.18, 19.78, 0.0]","[-39.63, 19.97, 0.12]",1
508,0:20,1,20.32,1599957505090,10,H. Mukhtar,"[-39.43, 19.84, 0.0]","[-39.94, 19.97, 0.11]",1
509,0:20,1,20.36,1599957505130,10,H. Mukhtar,"[-39.67, 19.89, 0.0]","[-40.22, 19.97, 0.11]",1
510,0:20,1,20.4,1599957505170,10,H. Mukhtar,"[-39.92, 19.93, 0.0]","[-40.51, 19.98, 0.09]",1
511,0:20,1,20.44,1599957505210,10,H. Mukhtar,"[-40.17, 19.96, 0.0]","[-40.83, 19.98, 0.08]",1
